full_name,total_publications_count,2009-2014_publications,2014-2019_publications,2019-present_publications,unique_countries_published_in,important_types_publications,unique_collaborators_count,first_co_author_appearances,last_co_author_appearances,social_media_engagement_score,clinical_trials,average_references_per_paper,final_score,publication_percentile,social_media_percentile,clinical_trials_percentile,final_score_percentile
Hugh Calkins,669,137,244,106,10,654,2421,135,207,4323.63,0,18.03,91.47,100,80.62,47.67,100
Samuel Asirvatham,599,158,288,85,14,519,1212,0,8,7520.72,0,6.21,90.29,99.22,94.57,47.67,99.22
Luigi Di Biase,530,140,223,120,11,602,1584,187,99,0,0,9.43,83.43,98.45,32.17,47.67,96.9
Kenneth Ellenbogen,527,112,177,90,8,519,1591,0,10,0,0,12.43,80.97,97.67,32.17,47.67,93.8
Dhanunjaya Lakkireddy,425,57,204,129,12,431,1291,76,225,0,11,4.28,88.51,96.9,32.17,100,98.45
David Callans,359,80,129,53,6,339,719,1,7,1272.18,0,13.79,82.66,96.12,68.22,47.67,96.12
Bradley Knight,244,42,71,42,5,240,836,1,4,0,0,4.12,74.79,95.35,32.17,47.67,86.05
Sanjay Dixit,234,55,80,43,6,223,428,70,125,0,0,1.67,76.34,94.57,32.17,47.67,88.37
Frank Bogun,223,60,50,50,6,231,556,35,119,3012.62,0,21.25,84.69,93.8,72.87,47.67,97.67
Edward Gerstenfeld,209,60,55,30,6,201,513,1,1,0,0,15.76,71.45,93.02,32.17,47.67,80.62
David Frankel,204,33,103,64,5,198,551,0,1,0,0,2.81,70.99,92.25,32.17,47.67,77.52
David Cox,199,31,37,15,7,324,1171,1,10,5447.13,0,3.25,82.44,91.47,87.6,47.67,95.35
Ali Al-shakeel,183,28,55,64,5,199,637,0,0,5107.67,0,4.29,77.02,90.7,86.82,47.67,90.7
J Burkhardt,181,55,52,25,5,197,525,0,0,289.93,0,3.15,70.41,89.92,64.34,47.67,76.74
Aman Chugh,179,57,22,12,3,200,263,40,46,7996.88,0,2.02,74.84,89.15,97.67,47.67,86.82
Moussa Mansour,176,48,57,28,7,195,652,32,86,0,0,30.97,76.61,87.98,32.17,47.67,89.15
Fermin Garcia,176,40,80,38,6,173,454,1,7,0,0,1.14,72.27,87.98,32.17,47.67,81.4
Rodney Horton,171,54,53,55,7,197,506,3,0,0,0,2.19,73.06,86.82,32.17,47.67,82.95
Roy John,161,44,81,20,4,139,418,0,8,0,0,2.86,66.18,86.05,32.17,47.67,73.64
Bruce Lerman,159,31,51,17,4,148,335,0,0,0,0,3.57,59.15,85.27,32.17,47.67,63.57
Francis Marchlinski,157,44,65,29,4,140,636,7,10,0,0,19.84,71.14,84.5,32.17,47.67,79.84
Andre D'avila,140,40,32,26,8,153,452,0,0,4648.93,0,39.24,73.95,83.72,82.95,47.67,84.5
Jonathan Hsu,137,19,69,48,3,132,473,0,4,0,0,8.04,66.14,82.95,32.17,47.67,72.87
Srinivas Dukkipati,134,29,55,40,3,154,495,6,5,0,1,0.99,72.91,82.17,32.17,96.51,82.17
David Haines,132,36,46,19,9,122,684,1,5,0,2,41.37,76.65,81.4,32.17,98.84,89.92
Daniel Friedman,126,12,57,53,8,117,494,2,6,0,0,10.23,73.22,80.62,32.17,47.67,83.72
Emile Daoud,122,23,43,26,4,110,475,1,7,6099.75,2,2.39,80.39,79.84,91.47,98.84,93.02
Fred Kusumoto,121,23,58,19,6,116,467,10,24,0,0,7.17,70.35,78.68,32.17,47.67,75.97
Joshua Cooper,121,44,19,21,3,115,330,0,3,322.59,0,0.64,65,78.68,65.12,47.67,70.54
John Day,118,38,44,10,8,111,495,0,2,0,0,26,65.23,77.52,32.17,47.67,71.32
Warren Jackman,116,37,18,7,4,116,399,0,2,0,0,43.53,58.33,76.74,32.17,47.67,62.02
Elad Anter,107,18,51,29,6,108,337,42,43,4330.99,1,42.56,81.59,75.97,81.4,96.51,94.57
Gregory Feld,106,20,22,22,4,117,282,2,2,0,0,8.28,61.63,75.19,32.17,47.67,66.67
